[config]
label = 'CMS Inclusive Jet measurement 2011'
short_label = 'CMS Incl. Jets 2011'
reference = 'Phys.Rev. D87 (2013) 11, 112002'
theory_type = fastNLO
theory_table = fnl2332d.tab
additional_datafiles = CMS_2013_1208923_stat_correlations.txt

[data_description]
y_lo             = bin
y_up             = bin
pt_lo            = bin
pt_up            = bin
xs               = data
xsnlo            = theory
stat             = exp_uncert:bintobin
uncor            = exp_uncert:uncorr
npcor            = theo_correction
lumierr          = exp_uncert:corr:multiplicative:cov
unf_err          = exp_uncert:corr:multiplicative:cov
High_PT_EXTR     = exp_uncert:corr:multiplicative:cov
FLAVOUR          = exp_uncert:corr:multiplicative:cov
RelativeStatEC2  = exp_uncert:corr:multiplicative:cov
RelativeJERCHF   = exp_uncert:corr:multiplicative:cov
RelativeJERC2    = exp_uncert:corr:multiplicative:cov
PileUpJetRate    = exp_uncert:corr:multiplicative:cov
PileUpPt         = exp_uncert:corr:multiplicative:cov
SINGLE_PION_0005 = exp_uncert:corr:multiplicative:cov
SINGLE_PION_BAR  = exp_uncert:corr:multiplicative:cov
SINGLE_PION_END  = exp_uncert:corr:multiplicative:cov
SINGLE_PION_0510 = exp_uncert:corr:multiplicative:cov
SINGLE_PION_1015 = exp_uncert:corr:multiplicative:cov
PileUpDataMC     = exp_uncert:corr:multiplicative:cov
PileUpOOT        = exp_uncert:corr:multiplicative:cov
TIME             = exp_uncert:corr:multiplicative:cov
PileUpBias       = exp_uncert:corr:multiplicative:cov
RelativeStatHF   = exp_uncert:corr:multiplicative:cov
RelativeJERC1    = exp_uncert:corr:multiplicative:cov
RelativeFSR      = exp_uncert:corr:multiplicative:cov
#pdf_uncert       = theo_uncert:bintobin

[data]
#  y_lo  y_up  pt_lo  pt_up  xs         stat        uncor      High_PT_EXTR  FLAVOUR     RelativeStatEC2  RelativeJERCHF  SINGLE_PION_0005  RelativeJERC2  ABSOLUTE    PileUpJetRate  unf_err     PileUpPt    npcor  SINGLE_PION_BAR  SINGLE_PION_END  SINGLE_PION_0510  PileUpDataMC  PileUpOOT   lumierr     TIME        PileUpBias  SINGLE_PION_1015  RelativeStatHF  RelativeJERC1  RelativeFSR  npcorerr
   0     0.5   114    133    2950       35.4        29.5       42.775        84.075      0                0               8.3439            0              78.175      70.8           97.35       103.25      1.117  8.3439           0                0                 5.9           25.075      64.9        0           35.4        0                 0               0              0            44.25
   0     0.5   133    153    1341       20.115      13.41      20.785        34.866      0                0               4.7412            0              36.207      29.502         38.889      41.571      1.098  4.7412           0                0                 2.682         10.058      29.502      0           13.41       0                 0               0              0            16.092
   0     0.5   153    174    640.1      10.242      6.401      10.562        15.042      0                0               2.7157            0              17.603      13.122         16.963      17.923      1.084  2.7157           0                0                 1.2802        4.1607      14.082      0           6.0809      0                 0               0              0            6.401
   0     0.5   174    196    311.4      2.8026      3.114      5.4495        6.8508      0                0               1.5414            0              8.7192      5.9166         8.2521      7.785       1.072  1.5414           0                0                 0.6228        1.8684      6.8508      0           2.6469      0                 0               0              0            2.4912
   0     0.5   196    220    160.9      1.609       1.609      2.8962        3.218       0                0               0.91019           0              4.5052      2.8962         3.9421      3.7007      1.063  0.91019          0                0                 0.24135       0.88495     3.5398      0           1.2067      0                 0               0              0            0.9654
   0     0.5   220    245    85.4       0.9394      0.854      1.6226        1.6226      0                0               0.54348           0              2.4339      1.4518         2.0923      1.7934      1.055  0.54348          0                0                 0.0854        0.427       1.8788      0           0.5551      0                 0               0              0            0.427
   0     0.5   245    272    45.94      0.59722     0.4594     0.9188        0.80395     0                0               0.32484           0              1.3323      0.73504        1.0566      0.87286     1.048  0.32484          0                0                 0.04594       0.20673     1.0107      0           0.27564     0                 0               0              0            0.18376
   0     0.5   272    300    24.98      0.39968     0.2498     0.52458       0.41217     0                0               0.1943            0              0.73691     0.3747         0.58703     0.43715     1.043  0.1943           0                0                 0.02498       0.09992     0.54956     0           0.13739     0                 0               0              0            0.09992
   0     0.5   300    330    13.93      0.09751     0.1393     0.30646       0.21591     0                0               0.1182            0              0.4179      0.19502        0.31342     0.22288     1.038  0.1182           0                0                 0.01393       0.05572     0.30646     0           0.06965     0                 0               0              0            0.04179
   0     0.5   330    362    7.82       0.06256     0.0782     0.17986       0.1173      0                0               0.077414          0              0.23851     0.10557        0.17986     0.1173      1.034  0.077414         0                0                 0.00782       0.03128     0.17204     0           0.0391      0                 0               0              0            0.01564
