[config]
label = 'D0 Inclusive Jet measurement'
short_label = ''
reference = ''
theory_table = fnt2009midp_cv21_I779574.tab

[data_description]
ylow             = bin
yhigh            = bin
ptlow            = bin
pthigh           = bin
xs               = data
stat             = exp_uncert:uncorr
uncor            = exp_uncert:uncorr
npcor            = theo_correction
lumierr          = exp_uncert:corr:m
unf_err          = exp_uncert:corr:m
High_PT_EXTR     = exp_uncert:corr:m
FLAVOUR          = exp_uncert:corr:m
RelativeStatEC2  = exp_uncert:corr:m
RelativeJERCHF   = exp_uncert:corr:m
RelativeJERC2    = exp_uncert:corr:m
PileUpJetRate    = exp_uncert:corr:m
PileUpPt         = exp_uncert:corr:m
SINGLE_PION_0005 = exp_uncert:corr:m
SINGLE_PION_BAR  = exp_uncert:corr:m
SINGLE_PION_END  = exp_uncert:corr:m
SINGLE_PION_0510 = exp_uncert:corr:m
SINGLE_PION_1015 = exp_uncert:corr:m
PileUpDataMC     = exp_uncert:corr:m
PileUpOOT        = exp_uncert:corr:m
TIME             = exp_uncert:corr:m
PileUpBias       = exp_uncert:corr:m
RelativeStatHF   = exp_uncert:corr:m
RelativeJERC1    = exp_uncert:corr:m
RelativeFSR      = exp_uncert:corr:m
# pdf_uncert     = theo_uncert:bintobin

[data]
# y_lo  y_up  pt     pt_low  pt_up  xs        npcorr  stat_up    stat_lo    uc_up     up_lo     EMES_up   EMES_lo   PES_up     PES_lo     HPTE_up   HPTE_lo   ETAC1_up  ETAC2_lo  DETS_up   DETS_lo   lumi_up   lumi_lo   ETAC2_up  ETAC2_lo  ETAC3_up  ETAC3_lo  ETAC4_up  ETAC4_lo  JESRB_up  JESRB_lo  RESM_up    RESM_lo   NGT_up    NGT_lo   ZS_up     ZS_lo     RES_up    RES_lo    ETACF_up  ETACF_lo  JESMPFB1_up  JESMPFB1_lo  JESMPFB2_up  JESMPFB2_lo  RAPUNF_up  RAPUNF_lo  TRIGM_up  TRIGM_lo  DIJETRESF1_up  DIJETRESF1_lo  DIJETRESF2_up  DIJETRESF2_lo  TRIGMATCH_up  TRIGMATCH_lo  CCRESF_up  CCRESF_lo
0.0   0.4   169.3  160.0   180.0  21.31     3.4     +0.06      -0.06      +0.11     -0.11     +0.64     -0.62     +0.68      -0.68      +0.13     -0.13     +0.0      -0.0      +0.68     -0.66     +1.39     -1.24     +0.13     -0.13     +0.0      -0.0      +0.0      -0.0      +0.13     -0.13     +0.04      -0.04     +0.02     -0.02    +0.43     -0.43     +0.13     -0.13     +0.0      -0.0      +0.34        -0.34        +0.0         -0.0         +0.0       -0.0       +0.15     -0.15     -0.4           +0.4           +0.15          -0.15          +0.0          -0.0          -0.09      +0.09
0.0   0.4   189.3  180.0   200.0  9.81      3.1     +0.039     -0.039     +0.049    -0.049    +0.304    -0.294    +0.343     -0.334     +0.088    -0.088    +0.0      -0.0      +0.324    -0.314    +0.638    -0.569    +0.059    -0.059    +0.0      -0.0      +0.0      -0.0      +0.059    -0.059    +0.01      -0.01     +0.01     -0.01    +0.186    -0.177    +0.059    -0.059    +0.0      -0.0      +0.167       -0.167       +0.0         -0.0         +0.0       -0.0       +0.069    -0.069    -0.167         +0.167         +0.049         -0.049         +0.0          -0.0          -0.039     +0.039
0.0   0.4   209.4  200.0   220.0  4.719     2.9     +0.024     -0.024     +0.024    -0.024    +0.151    -0.146    +0.175     -0.175     +0.057    -0.057    +0.0      -0.0      +0.165    -0.16     +0.307    -0.274    +0.028    -0.028    +0.0      -0.0      +0.0      -0.0      +0.028    -0.028    +0.005     -0.005    +0.005    -0.005   +0.08     -0.08     +0.028    -0.028    +0.0      -0.0      +0.08        -0.08        +0.0         -0.0         +0.0       -0.0       +0.042    -0.042    -0.066         +0.066         +0.014         -0.014         +0.0          -0.0          -0.014     +0.014
0.0   0.4   229.4  220.0   240.0  2.417     2.7     +0.015     -0.015     +0.012    -0.012    +0.08     -0.077    +0.097     -0.094     +0.034    -0.034    +0.0      -0.0      +0.087    -0.085    +0.157    -0.14     +0.015    -0.015    +0.0      -0.0      +0.0      -0.0      +0.015    -0.015    +0.002     -0.002    +0.002    -0.002   +0.039    -0.039    +0.015    -0.015    +0.0      -0.0      +0.044       -0.044       +0.0         -0.0         +0.0       -0.0       +0.022    -0.022    -0.029         +0.029         +0.007         -0.007         +0.0          -0.0          -0.007     +0.007
0.0   0.4   251.6  240.0   265.0  1.177     2.6     +0.009     -0.009     +0.007    -0.007    +0.041    -0.04     +0.051     -0.049     +0.021    -0.02     +0.0      -0.0      +0.045    -0.044    +0.077    -0.068    +0.006    -0.006    +0.0      -0.0      +0.0      -0.0      +0.007    -0.007    +0.001     -0.001    +0.001    -0.001   +0.018    -0.018    +0.007    -0.007    +0.0      -0.0      +0.022       -0.022       +0.0         -0.0         +0.0       -0.0       +0.011    -0.011    -0.011         +0.011         +0.005         -0.005         +0.0          -0.0          -0.002     +0.002
0.0   0.4   278.8  265.0   295.0  0.5084    2.5     +0.0056    -0.0056    +0.0031   -0.0031   +0.0188   -0.0183   +0.0239    -0.0234    +0.0112   -0.0107   +0.0      -0.0      +0.0203   -0.0198   +0.033    -0.0295   +0.002    -0.002    +0.0      -0.0      +0.0      -0.0      +0.0031   -0.0031   +5.0E-4    -5.0E-4   +5.0E-4   -5.0E-4  +0.0071   -0.0071   +0.0036   -0.0036   +0.0      -0.0      +0.0102      -0.0102      +0.0         -0.0         +0.0       -0.0       +0.0046   -0.0046   -0.0031        +0.0031        +0.0025        -0.0025        +0.0          -0.0          -5.0E-4    +5.0E-4
0.0   0.4   308.9  295.0   325.0  0.2097    2.4     +0.0038    -0.0038    +0.0015   -0.0015   +0.0082   -0.008    +0.0109    -0.0105    +0.0057   -0.0055   +0.0      -0.0      +0.009    -0.0088   +0.0136   -0.0122   +6.0E-4   -6.0E-4   +0.0      -0.0      +0.0      -0.0      +0.0013   -0.0013   +2.0E-4    -2.0E-4   +2.0E-4   -2.0E-4  +0.0029   -0.0027   +0.0015   -0.0015   +0.0      -0.0      +0.0044      -0.0044      +0.0         -0.0         +0.0       -0.0       +0.0019   -0.0019   -4.0E-4        +4.0E-4        +0.0013        -0.0013        +0.0          -0.0          +2.0E-4    -2.0E-4
0.0   0.4   341.1  325.0   360.0  0.08189   2.4     +0.00213   -0.00213   +6.6E-4   -6.6E-4   +0.00344  -0.00336  +0.00467   -0.0045    +0.00262  -0.00254  +0.0      -0.0      +0.00377  -0.00369  +0.00532  -0.00475  +1.6E-4   -1.6E-4   +0.0      -0.0      +0.0      -0.0      +4.9E-4   -4.9E-4   +8.0E-5    -8.0E-5   +8.0E-5   -8.0E-5  +0.00106  -0.00106  +6.6E-4   -6.6E-4   +0.0      -0.0      +0.00188     -0.00188     +0.0         -0.0         +0.0       -0.0       +7.4E-4   -7.4E-4   +8.0E-5        -8.0E-5        +5.7E-4        -5.7E-4        +0.0          -0.0          +2.5E-4    -2.5E-4
0.0   0.4   378.2  360.0   400.0  0.02909   2.4     +0.00119   -0.00119   +2.9E-4   -2.9E-4   +0.00134  -0.00128  +0.00186   -0.0018    +0.00116  -0.00113  +0.0      -0.0      +0.00145  -0.0014   +0.00189  -0.00169  +9.0E-5   -9.0E-5   +0.0      -0.0      +0.0      -0.0      +1.7E-4   -1.7E-4   +3.0E-5    -3.0E-5   +3.0E-5   -3.0E-5  +3.5E-4   -3.5E-4   +2.6E-4   -2.6E-4   +0.0      -0.0      +7.6E-4      -7.6E-4      +0.0         -0.0         +0.0       -0.0       +2.6E-4   -2.6E-4   +1.5E-4        -1.5E-4        +2.3E-4        -2.3E-4        +0.0          -0.0          +1.5E-4    -1.5E-4
0.0   0.4   420.2  400.0   445.0  0.009915  2.3     +6.54E-4   -6.54E-4   +1.19E-4  -1.19E-4  +5.06E-4  -4.86E-4  +7.34E-4   -7.04E-4   +4.96E-4  -4.76E-4  +0.0      -0.0      +5.35E-4  -5.25E-4  +6.44E-4  -5.75E-4  +5.0E-5   -5.0E-5   +0.0      -0.0      +0.0      -0.0      +6.9E-5   -6.9E-5   +2.0E-5    -2.0E-5   +1.0E-5   -1.0E-5  +1.19E-4  -1.19E-4  +1.09E-4  -1.09E-4  +0.0      -0.0      +2.97E-4     -2.97E-4     +0.0         -0.0         +0.0       -0.0       +8.9E-5   -8.9E-5   +8.9E-5        -8.9E-5        +8.9E-5        -8.9E-5        +0.0          -0.0          +8.9E-5    -8.9E-5
