#  ABSOLUTE_lo   ABSOLUTE_up    FLAVOUR_lo    FLAVOUR_up  High_PT_EXTR_lo  High_PT_EXTR_up  PileUpBias_lo  PileUpBias_up  PileUpDataMC_lo  PileUpDataMC_up  PileUpJetRate_lo  PileUpJetRate_up  PileUpOOT_lo  PileUpOOT_up   PileUpPt_lo   PileUpPt_up  RelativeFSR_lo  RelativeFSR_up  RelativeJERC1_lo  RelativeJERC1_up  RelativeJERC2_lo  RelativeJERC2_up  RelativeJERCHF_lo  RelativeJERCHF_up  RelativeStatEC2_lo  RelativeStatEC2_up  RelativeStatHF_lo  RelativeStatHF_up  SINGLE_PION_0005  SINGLE_PION_0510  SINGLE_PION_1015  SINGLE_PION_BAR  SINGLE_PION_END       TIME_lo       TIME_up         ewcor       lumierr         npcor      npcorerr         pt_lo         pt_up       stat_lo       stat_up         uncor    unf_err_lo    unf_err_up            xs          y_lo          y_up
              -0.033                0.034               -0.013                0.013               -0.027                0.028                0.004               -0.003               -0.001                0.001               -0.011                0.011               -0.003                0.003               -0.011                0.011                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0              0.01237                    0                    0              0.01237                    0                   -0                   -0               1.0025                0.022               1.0158            0.0071709                  468                  507               -0.008                0.008                 0.01               -0.023                0.022               0.8747                    0                  0.5
              -0.034                0.035               -0.013                0.013               -0.029                0.029                0.003               -0.003               -0.001                0.001                -0.01                0.011               -0.002                0.003                -0.01                0.011                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0            0.0080333                    0                    0            0.0080333                    0                   -0                   -0               1.0038                0.022                1.014            0.0036289                  507                  548               -0.004                0.004                 0.01               -0.023                0.023               0.5164                    0                  0.5
              -0.035                0.036               -0.012                0.013                -0.03                0.031                0.003               -0.003               -0.001                0.001                -0.01                 0.01               -0.002                0.002                -0.01                 0.01                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0            0.0052235                    0                    0            0.0052235                    0                   -0                   -0               1.0053                0.022               1.0127            0.0019421                  548                  592               -0.004                0.004                 0.01               -0.022                0.023               0.3078                    0                  0.5
              -0.036                0.036               -0.012                0.013               -0.031                0.032                0.003               -0.003               -0.001                0.001                -0.01                 0.01               -0.002                0.002               -0.009                0.009                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0            0.0033935                    0                    0            0.0033935                    0                   -0                   -0               1.0075                0.022               1.0119             0.001096                  592                  638               -0.005                0.005                 0.01               -0.023                0.023               0.1811                    0                  0.5
              -0.037                0.037               -0.012                0.012               -0.032                0.034                0.003               -0.002               -0.001                0.001               -0.009                 0.01               -0.002                0.002               -0.008                0.009                   -0                    0                   -0                    0                   -0                    0                   -0                    0                   -0                    0                   -0                    0            0.0021644                    0                    0            0.0021644                    0                   -0                    0               1.0095                0.022               1.0107           0.00056474                  638                  686               -0.007                0.007                 0.01               -0.023                0.023               0.1074                    0                  0.5
              -0.038                0.038               -0.012                0.012               -0.034                0.035                0.003               -0.002                   -0                    0               -0.009                0.009               -0.002                0.002               -0.008                0.008                   -0                    0                   -0                    0                   -0                    0                   -0                    0                   -0                    0                   -0                    0            0.0014011                    0                    0            0.0014011                    0                   -0                    0               1.0124                0.022               1.0101           0.00031552                  686                  737               -0.008                0.008                 0.01               -0.023                0.022              0.06392                    0                  0.5
              -0.039                0.039               -0.013                0.012               -0.035                0.037                0.003               -0.002                   -0                    0               -0.008                0.009               -0.002                0.002               -0.007                0.008                   -0                    0                    0                    0                   -0                    0                    0                    0                   -0                    0                    0                    0            0.0008902                    0                    0            0.0008902                    0                    0                    0               1.0154                0.022               1.0089            0.0001537                  737                  790                -0.01                 0.01                 0.01               -0.024                0.023              0.03758                    0                  0.5
              -0.041                 0.04               -0.013                0.013               -0.036                0.039                0.002               -0.002                   -0                    0               -0.008                0.009               -0.002                0.002               -0.007                0.007                   -0                    0                    0                    0                   -0                    0                    0                    0                   -0                    0                    0                    0           0.00057168                    0                    0           0.00057168                    0                    0                    0               1.0191                0.022               1.0083            8.247e-05                  790                  846               -0.013                0.013                 0.01               -0.025                0.024              0.02215                    0                  0.5
              -0.042                0.041               -0.013                0.013               -0.038                 0.04                0.002               -0.002                   -0                    0               -0.008                0.008               -0.002                0.002               -0.007                0.007                   -0                    0                    0                    0                   -0                    0                    0                    0                   -0                    0                    0                    0           0.00036561                    0                    0           0.00036561                    0                    0                    0               1.0232                0.022               1.0077           4.3719e-05                  846                  905               -0.017                0.017                 0.01               -0.024                0.024              0.01309                    0                  0.5
              -0.044                0.043               -0.013                0.013               -0.039                0.042                0.002               -0.002                   -0                    0               -0.007                0.008               -0.001                0.002               -0.006                0.007                   -0                    0                    0                    0                   -0                    0                    0                    0                   -0                    0                    0                    0           0.00022587                    0                    0           0.00022587                    0                    0                    0               1.0276                0.022               1.0071           2.2111e-05                  905                  967               -0.022                0.022                 0.01               -0.026                0.024             0.007516                    0                  0.5
