ptmean ylow yhigh np ps npxps
258.5 2 2.5 1.018969 0.906341 0.923533
286 2 2.5 1.017061 0.897951 0.913271
315 2 2.5 1.015529 0.889937 0.903756
346 2 2.5 1.014269 0.882147 0.894734
378.5 2 2.5 1.013243 0.874697 0.886281
412.5 2 2.5 1.012401 0.867559 0.878318
449 2 2.5 1.011687 0.860523 0.870580
487.5 2 2.5 1.011088 0.853697 0.863163
527.5 2 2.5 1.010590 0.847153 0.856125
570 2 2.5 1.010164 0.840723 0.849268
615 2 2.5 1.009798 0.834418 0.842594
662 2 2.5 1.009488 0.828307 0.836166
795.5 2 2.5 1.008867 0.813064 0.820273
