#KT_lo        KT_hi         delta_tree     delta_loop
2.450000e+02  2.720000e+02  7.410893e-03  -1.079998e-02
2.720000e+02  3.000000e+02  8.588764e-03  -1.261126e-02
3.000000e+02  3.300000e+02  9.896360e-03  -1.458511e-02
3.300000e+02  3.620000e+02  1.134334e-02  -1.658388e-02
3.620000e+02  3.950000e+02  1.296691e-02  -1.879692e-02
3.950000e+02  4.300000e+02  1.464725e-02  -2.104064e-02
4.300000e+02  4.680000e+02  1.657873e-02  -2.364031e-02
4.680000e+02  5.070000e+02  1.864762e-02  -2.637060e-02
5.070000e+02  5.480000e+02  2.078392e-02  -2.913413e-02
5.480000e+02  5.920000e+02  2.307708e-02  -3.196787e-02
5.920000e+02  6.380000e+02  2.548272e-02  -3.503162e-02
6.380000e+02  6.860000e+02  2.793183e-02  -3.801128e-02
6.860000e+02  7.370000e+02  3.035138e-02  -4.121936e-02
7.370000e+02  7.900000e+02  3.284259e-02  -4.444119e-02
7.900000e+02  8.460000e+02  3.523646e-02  -4.783831e-02
8.460000e+02  9.050000e+02  3.758238e-02  -5.130931e-02
9.050000e+02  9.670000e+02  3.987180e-02  -5.513045e-02
9.670000e+02  1.248000e+03  4.211804e-02  -5.969988e-02
1.140000e+02  1.330000e+02  2.281933e-03  -3.612462e-03
1.330000e+02  1.530000e+02  2.902334e-03  -4.687978e-03
1.530000e+02  1.740000e+02  3.577404e-03  -5.830891e-03
1.740000e+02  1.960000e+02  4.331059e-03  -7.217192e-03
1.960000e+02  2.200000e+02  5.135603e-03  -8.500439e-03
2.200000e+02  2.450000e+02  6.011063e-03  -1.016605e-02
2.450000e+02  2.720000e+02  7.048092e-03  -1.187119e-02
2.720000e+02  3.000000e+02  8.122962e-03  -1.401092e-02
3.000000e+02  3.300000e+02  9.309942e-03  -1.611049e-02
3.300000e+02  3.620000e+02  1.060983e-02  -1.824575e-02
3.620000e+02  3.950000e+02  1.199052e-02  -2.072897e-02
3.950000e+02  4.300000e+02  1.337099e-02  -2.314435e-02
4.300000e+02  4.680000e+02  1.490932e-02  -2.556168e-02
4.680000e+02  5.070000e+02  1.644297e-02  -2.855065e-02
5.070000e+02  5.480000e+02  1.805098e-02  -3.108527e-02
5.480000e+02  5.920000e+02  1.963990e-02  -3.416312e-02
5.920000e+02  6.380000e+02  2.113886e-02  -3.702428e-02
6.380000e+02  6.860000e+02  2.266306e-02  -4.062175e-02
6.860000e+02  9.050000e+02  2.430339e-02  -4.444305e-02
