pt_mi        ymin  ymax  NP_Pythia     NP_Herwig++   NP_Powheg     Powheg_stat   TOT_NP        TOT_NP_stat   PS            PS_stat       NPxPS         NPxPS_stat
1453.500000  0     0.5   1.006000e+00  1.006000e+00  1.003230e+00  3.687759e-03  1.004615e+00  1.385093e-03  9.938644e-01  4.969322e-01  9.984510e-01  4.992274e-01
1542.500000  0     0.5   1.005000e+00  1.006000e+00  1.003154e+00  3.697487e-03  1.004577e+00  1.423001e-03  9.936572e-01  4.968286e-01  9.982052e-01  4.991046e-01
1686.000000  0     0.5   1.005000e+00  1.005000e+00  1.003054e+00  3.710735e-03  1.004027e+00  9.728670e-04  9.933738e-01  4.966869e-01  9.973742e-01  4.986880e-01
1950.000000  0     0.5   1.004000e+00  1.004000e+00  1.002921e+00  3.729359e-03  1.003460e+00  5.396605e-04  9.929708e-01  4.964854e-01  9.964067e-01  4.982037e-01
123.500000   0.5   1     1.096000e+00  1.134000e+00  1.066860e+00  4.673828e-03  1.100430e+00  3.357017e-02  1.038613e+00  5.193067e-01  1.142921e+00  5.725232e-01
143.000000   0.5   1     1.082000e+00  1.110000e+00  1.052522e+00  4.449929e-03  1.081261e+00  2.873886e-02  1.029680e+00  5.148401e-01  1.113353e+00  5.574625e-01
163.500000   0.5   1     1.071000e+00  1.093000e+00  1.042068e+00  4.314822e-03  1.067534e+00  2.546585e-02  1.022704e+00  5.113521e-01  1.091772e+00  5.465068e-01
185.000000   0.5   1     1.062000e+00  1.079000e+00  1.034232e+00  4.232896e-03  1.056616e+00  2.238417e-02  1.017127e+00  5.085633e-01  1.074712e+00  5.378381e-01
208.000000   0.5   1     1.054000e+00  1.068000e+00  1.028106e+00  4.182989e-03  1.048053e+00  1.994693e-02  1.012490e+00  5.062451e-01  1.061144e+00  5.309560e-01
232.500000   0.5   1     1.048000e+00  1.059000e+00  1.023262e+00  4.154131e-03  1.041131e+00  1.786900e-02  1.008599e+00  5.042993e-01  1.050083e+00  5.253509e-01
258.500000   0.5   1     1.042000e+00  1.051000e+00  1.019390e+00  4.139126e-03  1.035195e+00  1.580524e-02  1.005302e+00  5.026512e-01  1.040684e+00  5.205845e-01
286.000000   0.5   1     1.038000e+00  1.045000e+00  1.016263e+00  4.133212e-03  1.030631e+00  1.436865e-02  1.002487e+00  5.012436e-01  1.033195e+00  5.167981e-01
